"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.233558025E0,-4.283500195E0,-9.639816284E-1,9.159937501E-3,4.390639862E0
2.253093441E0,-3.710822582E0,-6.321868896E-1,3.071841300E-1,3.776801105E0
2.272628858E0,-3.378292561E0,-3.723993301E-1,3.405275047E-1,3.415772368E0
2.292164275E0,-2.340927601E0,-1.020431519E-4,5.270942450E-1,2.399535452E0
2.311699691E0,-1.664298773E0,3.482999802E-1,5.183783770E-1,1.777616219E0
2.331235108E0,-1.133413792E0,5.132827759E-1,4.151584506E-1,1.311656422E0
2.350770525E0,-3.727364540E-1,6.000633240E-1,4.959512055E-1,8.631199541E-1
2.370305941E0,3.431190252E-1,6.810426712E-1,6.104203463E-1,9.768125637E-1
2.389841358E0,6.775797606E-1,5.744237900E-1,5.441238880E-1,1.041704290E0
2.409376775E0,1.296228647E0,2.883472443E-1,7.492955327E-1,1.524728381E0
2.428912139E0,2.587550163E0,3.509426117E-2,1.014065981E0,2.779384333E0
2.448447556E0,3.544067383E0,1.318893433E-1,9.361809492E-1,3.668002615E0
2.467982973E0,3.343635082E0,9.750843048E-2,4.996342063E-1,3.382164661E0
2.487518389E0,4.008920670E0,2.233324051E-1,-1.801340580E-1,4.019175360E0
2.507053806E0,4.915817738E0,1.497068405E-1,-3.600763083E-1,4.931260601E0
2.526589223E0,6.337845325E0,-3.897848129E-1,6.192206144E-1,6.379941202E0
2.546124639E0,8.487418175E0,-1.764383316E-1,8.122167587E-1,8.528018165E0
2.565660056E0,7.164964676E0,-3.488950729E-1,8.366777301E-1,7.222082539E0
2.585195473E0,6.070182323E0,-6.843557358E-1,-6.023358107E-1,6.138262347E0
2.604730889E0,6.817875862E0,-1.241041183E0,-1.097066164E0,7.016207570E0
2.624252712E0,5.161464691E0,-1.680727005E-1,-2.399730206E0,5.694529941E0
2.643801723E0,-3.770238161E0,4.746729851E0,-3.065782309E0,6.793022982E0
2.663337139E0,-9.423122406E0,8.176152229E0,2.448499203E0,1.271376614E1
2.682858910E0,5.563838005E0,1.106380463E0,-1.358163953E0,5.833093553E0
2.702407921E0,2.660583019E0,-1.754022598E0,-2.760525465E0,4.216135449E0
2.721943337E0,-2.284665346E0,5.692815781E-1,1.226003468E-2,2.354554643E0
2.741465160E0,-1.109037876E0,1.817512512E-2,-1.151238605E-1,1.115145214E0
2.761014171E0,2.428160191E0,-4.080276489E-1,1.683756828E0,2.982865322E0
2.780549587E0,4.546482861E-1,4.374637604E-1,7.466492802E-2,6.353380653E-1
2.800085004E0,-6.921725273E-1,5.433559418E-2,-2.520980835E-1,7.386532394E-1
2.819620421E0,-1.246330068E-1,3.337030411E-1,9.532239437E-1,1.017608467E0
2.839155837E0,9.183873981E-2,-3.836202621E-1,1.644503593E0,1.691150770E0
2.858691254E0,2.074166834E-1,-4.232082367E-1,1.125412107E0,1.220114463E0
2.878226619E0,2.674774230E-1,-5.486583710E-2,1.296573728E-1,3.022672099E-1
2.897762035E0,6.440273523E-1,8.560180664E-3,-1.757469177E-1,6.676312503E-1
2.917297452E0,-9.431809187E-2,1.626644135E-1,-3.489504158E-1,3.963861836E-1
2.936832869E0,1.819013953E-1,3.676605225E-2,-4.967929423E-1,5.303235689E-1
2.956368285E0,1.637042761E-1,1.853942871E-3,-8.678041399E-3,1.639446111E-1
2.975903702E0,-4.122865200E-2,1.592540741E-2,1.652209014E-1,1.710303090E-1
2.995439119E0,-5.933446884E-1,-1.780986786E-2,3.491766155E-1,6.886939955E-1
3.014974535E0,-2.724841833E-1,-1.740722656E-1,1.668301523E-1,3.638421135E-1
3.034509900E0,3.345295191E-1,-1.918239594E-1,-9.149985760E-2,3.963314957E-1
3.054045316E0,-2.165484428E-2,-1.140642166E-1,-1.196392998E-1,1.667127465E-1
3.073580733E0,-4.869313240E-1,-1.018066406E-1,-2.021092474E-1,5.369495826E-1
3.093116150E0,-1.102946997E0,-2.335596085E-1,-7.491804659E-2,1.129891535E0
3.112651566E0,-1.461122513E0,3.663301468E-1,-8.981198817E-2,1.509020532E0
3.132186983E0,-1.684463024E0,8.980731964E-1,-4.609516263E-1,1.963778895E0
3.151722400E0,-1.127936482E0,1.302942276E0,-1.194815874E0,2.097017944E0
3.171257764E0,-1.622283459E0,2.460887909E0,-1.416372776E0,3.270150572E0
3.190793181E0,-3.275421619E0,6.360560417E0,-5.474421978E-1,7.175291532E0
3.210315004E0,-4.662667274E0,8.357656479E0,-7.159473896E-1,9.597055204E0
3.229864014E0,-6.105702400E0,2.662628174E0,-7.678241730E-1,6.705128228E0
3.249399431E0,-3.931787491E0,2.582216263E0,-8.511917591E-1,4.780305546E0
3.268921254E0,-5.596518517E-2,1.590664864E0,1.166062593E0,1.973081038E0
3.288470264E0,3.308289051E0,1.696281433E0,3.569560051E0,5.154018442E0
3.308005629E0,-1.436375856E0,3.384522438E0,2.929072618E0,4.700812072E0
3.327527452E0,-6.825512886E0,2.025117874E0,-7.570934296E-1,7.159742944E0
3.347076462E0,-3.124346733E0,1.305519104E0,5.502141118E-1,3.430547800E0
3.366611879E0,-2.012890100E0,9.912338257E-1,6.128888726E-1,2.325919995E0
3.386147296E0,-3.318913460E0,-2.779960632E-2,8.107401729E-1,3.416615138E0
3.405682712E0,-3.460841894E0,8.395347595E-1,1.926373094E-1,3.566420385E0
3.425218129E0,-3.925557852E0,1.451681137E0,5.459207892E-1,4.220830733E0
3.444753546E0,-4.038005352E0,2.270078659E-1,4.935128689E-1,4.074380290E0
3.464288962E0,-3.846000433E0,-1.151094437E0,-5.265466869E-2,4.014910989E0
3.483824327E0,-2.970157623E0,-2.246839523E0,-2.323049009E-1,3.731499661E0
3.503346150E0,-2.194637060E0,-3.224012375E0,-2.406546175E-1,3.907505888E0
3.522895160E0,-1.988101959E0,-3.954037189E0,-4.533787668E-1,4.448877589E0
3.542430577E0,-1.401664019E0,-4.407120228E0,-2.427153885E-1,4.631013008E0
3.561965994E0,-3.581478596E-1,-4.682088375E0,-5.567023754E-1,4.728650862E0
3.581501410E0,-1.680428982E-1,-4.736071587E0,-1.145043015E0,4.875421622E0
3.601036827E0,4.338812828E-2,-4.620981693E0,-1.181548953E0,4.769844051E0
3.620558598E0,8.399443626E-1,-3.638298988E0,-7.240351439E-1,3.803544787E0
3.640107608E0,1.154437780E0,-2.307245255E0,-2.822395861E-1,2.595335515E0
3.659643025E0,1.580091596E0,-3.003015518E-1,-4.278101027E-1,1.664299239E0
3.679164848E0,1.606767297E0,2.194319725E0,-6.375639439E-1,2.793425851E0
3.698713858E0,2.001968145E0,3.143447876E0,-5.757097006E-1,3.771018783E0
3.718249275E0,3.992087364E0,3.964832306E0,4.279346764E-1,5.642675325E0
3.737771046E0,6.326289177E0,4.269772530E0,1.113219857E0,7.713115496E0
3.757320108E0,6.537795067E0,3.587667465E0,1.389596939E0,7.585848788E0
3.776855473E0,5.931399345E0,2.204524994E0,1.321490884E0,6.464345814E0
3.796390889E0,6.272606373E0,1.385876656E0,1.436940193E0,6.582631839E0
3.815926306E0,6.723234177E0,9.676647186E-1,1.471057892E0,6.949983030E0
3.835461723E0,6.290139198E0,5.698823929E-1,9.758942127E-1,6.390851789E0
3.854983494E0,5.165027618E0,2.825784683E-1,-3.472609222E-1,5.184394954E0
3.874532556E0,2.412180424E0,8.516273499E-1,-1.800448179E0,3.128177934E0
3.894067921E0,-5.657123566E0,3.814284325E0,-1.881530762E0,7.077568082E0
3.913603337E0,-5.330835342E0,4.536493301E0,-1.816202402E-1,7.002182719E0
3.933138754E0,3.699942112E0,1.783924103E0,-4.145594537E-1,4.128415722E0
3.952674171E0,3.228899717E0,-1.129748344E0,-1.343935966E0,3.675362375E0
3.972209587E0,1.114110947E-1,1.950082779E-1,-6.968101859E-2,2.351512382E-1
3.991745004E0,6.599777937E-2,2.102394104E-1,-1.054516435E-1,2.442874652E-1
4.011280421E0,1.605485320E0,-1.073036194E-1,8.659628630E-1,1.827290032E0
4.030815785E0,8.629953861E-1,4.577789307E-1,3.437353671E-2,9.774989135E-1
4.050351202E0,-9.515634179E-1,4.115610123E-1,-6.308828592E-1,1.213617974E0
4.069886619E0,-1.506991506E0,1.435518265E-1,-9.015554190E-2,1.516495482E0
4.089422035E0,-3.757422566E-1,2.882003784E-3,2.126208246E-1,4.317385371E-1
4.108957452E0,-6.378367543E-2,-7.510185242E-3,4.508352876E-1,4.553868868E-1
4.128492869E0,-3.741278350E-1,-3.394794464E-2,-2.331876568E-2,3.763879179E-1
4.148028233E0,-7.061089575E-2,8.386993408E-2,-2.878994942E-1,3.080684716E-1
4.167563650E0,-5.824537277E-1,5.120563507E-2,-5.330739021E-1,7.912282522E-1
4.187099066E0,-7.377824187E-1,9.805488586E-2,-2.492125928E-1,7.848850709E-1
4.206634483E0,3.015437722E-2,3.079700470E-2,4.453915954E-1,4.474722507E-1
4.226169900E0,-5.816733837E-2,-3.069391251E-1,9.162477255E-1,9.680418174E-1
4.245705316E0,-1.861469746E-1,-3.504228592E-1,3.443666101E-1,5.253905581E-1
4.265240733E0,3.457615376E-1,-1.682052612E-1,-2.338923514E-1,4.500551997E-1
4.284776098E0,4.328033328E-1,-2.927207947E-2,-2.453178465E-1,4.983537151E-1
4.304311514E0,-2.345715761E-1,1.180858612E-1,-9.090270847E-2,2.779053748E-1
4.323846931E0,-4.721738696E-1,8.863830566E-2,2.606062293E-1,5.465533086E-1
4.343382348E0,-5.414648056E-1,-7.454299927E-2,6.918980479E-1,8.817390221E-1
4.362917764E0,-9.626427889E-1,-1.830406189E-1,4.118335247E-1,1.062916676E0
4.382453181E0,-6.250354648E-1,-2.452783585E-1,-2.732849717E-1,7.249244658E-1
4.401988546E0,-4.685600996E-1,1.959180832E-1,-3.608406782E-1,6.230075901E-1
4.421523962E0,-1.284123659E0,7.259235382E-1,-5.332564116E-1,1.568534652E0
4.441059379E0,-2.292896271E0,1.182277679E0,-9.718396664E-1,2.756741946E0
4.460594796E0,-2.060123682E0,1.295299530E0,-3.881384134E-1,2.464256863E0
4.480130212E0,-1.006467581E0,1.608707428E0,2.108672112E-1,1.909288234E0
4.499652035E0,-2.495893002E0,4.064389229E0,1.130531579E-1,4.770903761E0
4.519201046E0,-4.862397671E0,7.212779045E0,-1.404255033E0,8.811300974E0
4.538736462E0,-5.421731949E0,4.502294540E0,-2.446491957E0,7.459970265E0
4.558258233E0,-2.991261721E0,2.197549820E0,-2.119813681E0,4.274398429E0
4.577807296E0,-5.041885376E-1,1.551735878E0,-1.449584723E0,2.182518312E0
4.597342660E0,2.415055752E0,-5.532236099E-1,1.039005637E0,2.686649095E0
4.616864483E0,3.865449429E0,-4.769992828E-1,3.750976324E0,5.407314582E0
4.636413494E0,-2.875292778E0,3.139514923E-1,2.042895555E0,3.541086888E0
4.655948910E0,-4.955924511E0,-1.360469341E0,-3.864972293E-1,5.153779651E0
4.675470733E0,-1.375382185E0,-1.157461643E0,7.906762958E-1,1.963813284E0
4.695019744E0,-1.184110641E0,-1.095425129E0,8.931670785E-1,1.843860530E0
4.714555160E0,-2.627467632E0,-1.764505386E0,4.544521570E-1,3.197435250E0
4.734090577E0,-2.814103365E0,-1.467861176E0,3.684256375E-1,3.195235771E0
4.753625994E0,-2.561447382E0,-1.022053719E0,8.841069937E-1,2.896075218E0
4.773161410E0,-2.676829576E0,-3.988876343E-1,7.139914036E-1,2.798984039E0
4.792696827E0,-2.872895002E0,-2.125740051E-1,4.194869697E-1,2.911130832E0
4.812232244E0,-2.185777903E0,-1.010856628E-1,4.438872933E-1,2.232684322E0
4.831767660E0,-1.621597528E0,3.081159592E-1,1.889842600E-1,1.661393704E0
4.851303077E0,-1.469271183E0,5.649337769E-1,1.217521429E-1,1.578838676E0
4.870838494E0,-1.397662401E0,3.123846054E-1,4.119336605E-2,1.432739063E0
4.890373910E0,-1.085778236E0,2.572822571E-2,2.616309524E-1,1.117151322E0
4.909909327E0,-9.664990902E-1,-3.828134537E-1,7.424737513E-2,1.042199263E0
4.929444744E0,-1.138674498E0,-1.094425201E0,-7.607987523E-2,1.581181293E0
4.948980160E0,-8.643472195E-1,-1.516913414E0,-2.492026985E-1,1.763582832E0
4.968515577E0,-4.448034763E-1,-1.615400314E0,-4.156768024E-1,1.726312692E0
4.988050994E0,1.005748510E-1,-1.690799713E0,-3.866071999E-1,1.737349734E0
5.007586410E0,7.790307999E-1,-1.498657227E0,-1.743069589E-1,1.698012187E0
5.027121827E0,1.687867880E0,-1.009019852E0,-1.093814969E-1,1.969513481E0
5.046657191E0,2.100277185E0,-3.134689331E-1,-3.141904473E-1,2.146658488E0
5.066192660E0,2.072527409E0,2.085514069E-1,-4.457612634E-1,2.130156485E0
5.085728077E0,2.738792181E0,6.719465256E-1,3.204983473E-2,2.820198918E0
5.105263441E0,3.612321615E0,1.370110512E0,6.186640263E-1,3.912648137E0
5.124798858E0,4.262175083E0,1.429738998E0,4.801226854E-1,4.521151163E0
5.144334275E0,5.197082043E0,1.250917435E0,5.722585917E-1,5.376052091E0
5.163869691E0,6.519377708E0,1.028329849E0,5.392631888E-1,6.621974990E0
5.183405108E0,8.080258369E0,2.026987076E-1,1.160093546E0,8.165627907E0
5.202926931E0,9.309558868E0,-8.866786957E-2,1.012920260E0,9.364921557E0
5.222475941E0,7.664375782E0,1.307105064E0,-9.305459857E-1,7.830523329E0
5.242011358E0,-2.208548546E0,6.385435104E0,-3.427639246E0,7.576290580E0
5.261533181E0,-1.083126831E1,6.499178886E0,-1.043090224E0,1.267453102E1
5.281082191E0,1.691102982E-1,-2.215628624E0,-3.223693132E0,3.915329604E0
5.300617608E0,4.742826939E0,-1.965999603E0,2.904116631E0,5.898597733E0
5.320153025E0,3.307159185E0,2.632665634E-1,1.829837680E0,3.788788341E0
5.339688441E0,6.233921051E-1,7.491416931E-1,-5.478200316E-1,1.118006163E0
5.359223858E0,-3.180471063E-1,5.128173828E-1,-1.715505838E0,1.818542249E0
5.378759275E0,-7.337099314E-1,7.372484207E-1,-1.770761847E0,2.053646274E0
5.398294691E0,9.618813992E-1,2.691268921E-1,1.887847632E-1,1.016506172E0
5.417830108E0,1.092897296E0,-3.805589676E-1,1.604796529E0,1.978540251E0
5.437365525E0,-4.898648858E-1,-2.906246185E-1,1.384428263E0,1.497021005E0
5.456900941E0,-8.426843286E-1,-2.280941010E-1,6.605694890E-1,1.094758351E0
5.476436358E0,-5.011945963E-3,7.217884064E-2,-1.587714106E-1,1.744799858E-1
5.495971775E0,9.980142117E-1,9.638786316E-3,2.905528545E-1,1.039493258E0
5.515507191E0,-2.784675360E-2,-3.136930466E-1,4.747748375E-1,5.697279311E-1
5.535042608E0,-4.100251496E-1,-3.004837036E-2,1.638859063E-1,4.425857184E-1
5.554578025E0,-1.731142044E0,1.741695404E-1,2.817241251E-1,1.762542564E0
5.574113441E0,-8.597049713E-1,1.126871109E-1,-3.921695352E-1,9.516238579E-1
5.593648858E0,-5.695023537E-1,-6.080818176E-2,4.167417288E-1,7.083108317E-1
5.613184275E0,-5.340377092E-1,-1.334724426E-1,2.400647849E-1,6.005349855E-1
5.632719691E0,-3.591993451E-1,-2.041854858E-1,3.448378444E-1,5.381719252E-1
5.652255108E0,-7.105003595E-1,-1.082754135E-1,1.213684231E-1,7.288790162E-1
5.671790525E0,-1.541690826E0,-2.247142792E-2,-1.540055275E-1,1.549526790E0
5.691325941E0,-1.112283468E0,3.972320557E-1,-7.113317251E-1,1.378753293E0
5.710861358E0,-5.687330961E-1,4.762344360E-1,-1.516376436E-1,7.571331109E-1
5.730396775E0,-9.400032759E-1,8.143653870E-1,-5.223363638E-2,1.244799379E0
5.749932191E0,-2.079857588E0,1.763506889E0,-1.024857998E0,2.913090807E0
5.769467608E0,-3.300180674E0,2.676970482E0,-2.341693163E0,4.851895538E0
5.788989431E0,-4.372222900E0,4.871500015E0,-6.251878142E-1,6.575614442E0
5.808538494E0,-4.518507004E0,1.102313232E1,-7.351498604E-1,1.193594559E1
5.828073910E0,-5.860690117E0,7.868109703E0,-2.906693935E0,1.023248301E1
5.847595733E0,-5.162796974E0,2.276835442E0,-1.567238808E0,5.856166810E0
5.867144744E0,1.688636303E0,-4.331874847E-1,8.963429332E-1,1.960248610E0
5.886680160E0,5.566064835E0,-2.416060448E0,4.167254925E0,7.361008045E0
5.906201983E0,1.373389244E0,-5.730094910E-1,3.978471518E0,4.247678602E0
5.925750994E0,-4.619164944E0,6.898927689E-1,-3.397942781E-1,4.682744597E0
5.945286410E0,-4.276994705E0,-7.363739014E-1,1.119641304E0,4.482022633E0
5.964821827E0,-2.152347326E0,-8.247551918E-1,7.779361606E-1,2.432694968E0
5.984357244E0,-2.377476215E0,-8.193235397E-1,5.306308866E-1,2.570068745E0
6.003892660E0,-3.566329479E0,-1.098328590E0,2.047047168E-1,3.737236368E0
6.023428129E0,-4.482964516E0,-2.434616089E-1,2.046930939E-1,4.494234492E0
6.042963546E0,-3.559913635E0,1.028289795E-1,2.838174105E-1,3.572689633E0
6.062498962E0,-3.177363396E0,-2.685289383E-1,-1.058885753E-1,3.190447983E0
6.082034379E0,-3.298614979E0,-9.783549309E-1,-3.120710254E-1,3.454768802E0
6.101569796E0,-2.927488804E0,-1.684397221E0,-4.763811231E-1,3.410912439E0
6.121105212E0,-1.853172064E0,-1.269126415E0,-3.798923492E-1,2.277991825E0
6.140640629E0,-1.399583817E0,-1.319262028E0,-5.024185181E-1,1.987891226E0
6.160176046E0,-8.985483646E-1,-1.785774708E0,-6.828225255E-1,2.112493094E0
6.179711462E0,-3.068141937E-1,-2.180607319E0,-5.416365862E-1,2.267719872E0
6.199246931E0,-1.903226376E-1,-2.858614445E0,-3.332840800E-1,2.884263776E0
