"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.267759809E0,-1.337760210E0,1.242753029E0,4.964749217E-1,1.892227475E0
4.287292569E0,-9.448347092E-1,1.527514458E0,-1.109229475E-1,1.799532424E0
4.306811684E0,-9.415383339E-1,3.047142029E0,2.140606195E-1,3.196465380E0
4.326358038E0,-2.393618584E0,5.154752731E0,2.444631159E-1,5.688642005E0
4.345890799E0,-4.193027973E0,3.943713188E0,-9.694480896E-1,5.837309902E0
4.365409965E0,-2.385065556E0,2.921765327E0,-7.365875244E-1,3.842891036E0
4.384956319E0,-2.001224041E0,3.658394814E0,-3.693617284E-1,4.186308441E0
4.404489028E0,-4.165786743E0,3.921139717E0,-8.187170029E-1,5.779222560E0
4.424021788E0,-4.941882133E0,3.667103767E0,-1.039625525E0,6.241047211E0
4.443554549E0,-5.581655025E0,3.616057396E0,-4.440301657E-1,6.665426221E0
4.463087309E0,-5.330377102E0,3.237576485E0,-3.801506758E-1,6.248146612E0
4.482606424E0,-6.976470947E-1,5.053981304E0,1.672928333E0,5.369183150E0
4.502152778E0,-1.721325397E0,5.879674911E0,2.765380383E0,6.721671433E0
4.521685538E0,-5.438749790E0,4.395630360E0,1.671029449E0,7.189847353E0
4.541204653E0,-5.338610172E0,3.460484982E0,1.449715734E0,6.525135293E0
4.560751007E0,-4.298916817E0,2.161190987E0,1.212883830E0,4.962108369E0
4.580283767E0,-3.044208050E0,1.450685978E0,1.435366631E0,3.664965187E0
4.599816528E0,-2.574809551E0,1.745394707E0,1.446542978E0,3.430529623E0
4.619349236E0,-2.829133987E0,6.393156052E-1,2.380773544E0,3.752440037E0
4.638881997E0,-5.255997181E0,-1.317626953E0,2.565044403E0,5.995089653E0
4.658401111E0,-7.171360970E0,-8.283982277E-1,1.528718472E0,7.379135582E0
4.677947465E0,-6.473091125E0,-7.353329659E-1,7.402816415E-1,6.556648549E0
4.697480226E0,-4.340266228E0,-1.406293392E0,4.398680925E-1,4.583563676E0
4.717012986E0,-3.119697571E0,-1.572113037E0,8.754823208E-1,3.601461041E0
4.736545694E0,-3.218898296E0,-1.105078220E0,6.696990132E-1,3.468573321E0
4.756078455E0,-3.924045086E0,-1.128033638E0,1.963201165E-2,4.083010549E0
4.775611215E0,-4.169435501E0,-1.054711342E0,-6.365999579E-2,4.301239473E0
4.795143924E0,-2.999742270E0,-1.125440598E-1,-2.018885016E-1,3.008634045E0
4.814676684E0,-3.447167873E-1,1.421790123E0,-3.861370683E-2,1.463491659E0
4.834195799E0,5.065522194E-1,2.125021935E0,7.471565902E-2,2.185839839E0
4.853742153E0,1.407130241E0,2.830254555E0,-5.291017294E-1,3.204731658E0
4.873274913E0,3.278116465E0,3.481223106E0,-8.140957355E-1,4.850537469E0
4.892807622E0,3.954640150E0,3.138244629E0,-7.717067003E-1,5.107180171E0
4.912340382E0,5.584510326E0,3.809310913E0,-1.995482087E0,7.048372435E0
4.931873090E0,7.852878094E0,3.990753174E0,-3.306295633E0,9.408793550E0
4.951392257E0,9.585211754E0,3.021474838E0,-3.142509460E0,1.053000286E1
4.970938611E0,1.049346733E1,2.164623260E0,-2.450524330E0,1.099106546E1
4.990471319E0,9.405650139E0,1.191818237E0,-2.409754276E0,9.782310612E0
5.009990486E0,7.840061188E0,7.900056839E-1,-2.694334030E0,8.327670999E0
5.029536788E0,7.801312447E0,9.926033020E-2,-2.271477938E0,8.125880908E0
5.049069549E0,9.197807312E0,-1.591409206E0,-1.564135075E0,9.464605705E0
5.068588663E0,1.072144413E1,-1.165723324E0,-1.629458427E0,1.090703488E1
5.088135017E0,1.075739193E1,-6.224346161E-2,-1.876201391E0,1.091995820E1
5.107667778E0,9.184862137E0,1.247385979E0,-3.089719057E0,9.770569487E0
5.127186892E0,1.317720413E0,5.308494568E0,-2.137804985E0,5.872538788E0
5.146733247E0,-2.674865341E1,1.057931995E1,1.237037373E1,3.131195644E1
5.166265955E0,-1.515649796E1,-2.826294422E0,-1.531512165E1,2.173155129E1
5.185785122E0,5.570201397E0,-1.543513298E0,-5.988225937E0,8.322765573E0
5.205331424E0,1.854799271E1,5.784861565E0,3.484644175E0,1.973918443E1
5.224864184E0,8.441663742E0,-1.049713135E0,-1.409742832E0,8.622700230E0
5.244383299E0,4.411827922E-1,-3.100719452E-1,4.259355545E0,4.293354927E0
5.263929653E0,2.810571671E0,1.309446335E0,-7.885687947E-1,3.199344240E0
5.283462413E0,1.879688501E-1,5.338811874E-1,-9.352954626E-1,1.093224137E0
5.302995122E0,-1.572745442E-1,1.022285461E0,-9.139995575E-1,1.380289114E0
5.322527882E0,8.913686275E-1,1.023292542E-2,-6.606435776E-1,1.109546159E0
5.342060590E0,9.603209496E-1,-3.346395493E-1,5.388836861E-1,1.150910762E0
5.361593351E0,7.528064251E-1,3.541030884E-1,-6.079236269E-1,1.030377429E0
5.381126059E0,7.783620358E-1,4.049825668E-1,-2.337451577E-1,9.080171457E-1
5.400658819E0,-2.040207759E-2,7.781219482E-2,-6.316897869E-1,6.367911505E-1
5.420191528E0,-4.568508267E-1,-5.596256256E-2,3.287500739E-1,5.656156799E-1
5.439724288E0,-2.336331606E-1,-1.911020279E-1,4.743947387E-1,5.622764506E-1
5.459256997E0,-4.968884587E-2,-4.266042709E-1,3.833429217E-1,5.756839246E-1
5.478789757E0,2.255322933E-1,-6.933593750E-2,6.086412668E-1,6.527759794E-1
5.498322465E0,-9.631171823E-2,-8.073711395E-2,7.161914110E-1,7.271344895E-1
