"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.852877013E0,-9.575995803E-1,2.210788727E-1,2.967267632E-1,1.026605862E0
1.872406649E0,-1.132180572E0,1.773290634E-1,-7.838279009E-3,1.146010420E0
1.891936336E0,-7.099016905E-1,4.504537582E-1,-2.393848896E-1,8.741705348E-1
1.911466024E0,-1.204520941E0,1.144773483E0,-4.557135701E-1,1.723093695E0
1.930995659E0,-1.967554092E0,1.011306763E0,-7.163479328E-1,2.325331124E0
1.950525347E0,-1.972950578E0,1.158409119E0,-1.151072502E0,2.561135212E0
1.970054982E0,-2.207736492E0,2.815146446E0,-1.100939393E0,3.743156085E0
1.989571076E0,-3.786098003E0,6.427787781E0,-6.032494903E-1,7.484310509E0
2.009114357E0,-5.062104225E0,7.158596992E0,-1.338835835E0,8.869210308E0
2.028644045E0,-4.768713951E0,3.525779724E0,-1.239863634E0,6.058796683E0
2.048160086E0,-2.096585274E0,1.158558846E0,2.650308609E-2,2.395543951E0
2.067703368E0,1.486674786E0,-1.480248928E0,1.945449591E0,2.861138395E0
2.087233003E0,1.603869438E0,-8.146886826E-1,1.818624377E0,2.558028430E0
2.106749097E0,-6.271663189E0,-8.996634483E-1,-5.429867506E-1,6.359087048E0
2.126292378E0,-1.223707771E1,-4.040844440E0,-1.205988646E0,1.294329569E1
2.145822066E0,-6.237963200E0,-2.457519054E0,-5.289076567E-1,6.725424008E0
2.165338107E0,-2.121676207E0,-1.153912067E0,3.937291503E-1,2.447048350E0
2.184881388E0,-3.962191582E0,-1.541904926E0,2.759513259E-1,4.260584709E0
2.204411076E0,-4.456161499E0,-1.121309757E0,4.284885526E-2,4.595274410E0
2.223927118E0,-1.719379902E0,-1.977367401E-1,2.503217459E-1,1.748721831E0
2.243470399E0,-1.194605827E-1,1.497678757E-1,3.487073481E-1,3.978668898E-1
2.263000086E0,5.870339870E-1,3.964214325E-1,4.932656884E-3,7.083665613E-1
2.282516128E0,1.790334582E0,4.435081482E-1,-3.198150098E-1,1.871971964E0
2.302059409E0,2.492658138E0,1.199455261E-1,-5.238483548E-1,2.549931101E0
2.321589097E0,2.556946278E0,2.172727585E-1,9.848240763E-2,2.568049942E0
2.341118784E0,2.944915533E0,5.878534317E-1,9.074341655E-1,3.137122235E0
2.360648420E0,3.500222921E0,8.653888702E-1,1.260786772E0,3.819691307E0
2.380178107E0,3.807747364E0,6.775140762E-1,9.768125415E-1,3.989000884E0
2.399694201E0,4.971596241E0,-4.801540375E-1,8.556804657E-1,5.067495056E0
2.419237482E0,7.124176979E0,-9.923343658E-1,6.941890717E-1,7.226376934E0
2.438767118E0,8.056280136E0,-1.461837769E0,3.702688813E-1,8.196201458E0
2.458283211E0,9.614742279E0,-2.171297550E0,5.501522422E-1,9.872206928E0
2.477826441E0,1.080587959E1,2.404193878E-1,9.158502519E-2,1.080894181E1
