"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.415819477E0,-6.514960527E-1,1.895980835E-1,-3.547750115E-1,7.656760730E-1
2.435355154E0,-4.945756197E-1,5.135126114E-1,-1.258006543E-1,7.239655035E-1
2.454890831E0,-6.165146828E-1,1.164248466E0,3.923553228E-1,1.374593593E0
2.474426509E0,-1.424788952E0,2.267332077E0,1.699582189E-1,2.683226435E0
2.493948592E0,-3.053366423E0,2.439776421E0,-6.930948496E-1,3.969374757E0
2.513497915E0,-2.259912729E0,2.292285919E0,1.337541044E-1,3.221749593E0
2.533033592E0,-2.431792736E0,1.153877258E0,-1.145824432E0,2.925399506E0
2.552555675E0,-1.723714828E0,1.669563293E0,-1.410055161E-2,2.399756910E0
2.572104946E0,-3.192944527E-1,1.854052544E0,-2.035058737E-1,1.892319852E0
2.591640675E0,-1.096310616E-1,7.258529663E-1,5.076445341E-1,8.925158102E-1
2.611162706E0,-2.451167583E0,7.846546173E-2,-1.645094156E-2,2.452478335E0
2.630712029E0,-6.104086876E0,-2.075662613E-1,-2.756994665E-1,6.113834356E0
2.650247706E0,-7.767866611E0,-1.068853378E0,-1.212547302E0,7.934259272E0
2.669783384E0,-5.984198093E0,-8.718605042E-1,-1.478794217E0,6.225560207E0
2.689319061E0,-3.173246861E0,-9.407043457E-3,-1.272742867E0,3.418985016E0
2.708854738E0,-2.216006517E0,6.607875824E-1,-7.557483912E-1,2.432792787E0
2.728390467E0,-2.346766949E0,8.204517365E-1,-6.184562445E-1,2.561824406E0
2.747926144E0,-1.905719757E0,8.849849701E-1,-4.558543563E-1,2.150062647E0
2.767461821E0,-5.699448586E-1,5.275478363E-1,-7.951306552E-2,7.806831553E-1
2.786997498E0,5.268595219E-1,3.379611969E-1,1.904876977E-1,6.542815062E-1
2.806533175E0,8.975007534E-1,5.179386139E-1,-3.363784403E-3,1.036233239E0
2.826068852E0,5.735799074E-1,5.646991730E-1,-8.943422139E-2,8.098626711E-1
2.845604529E0,5.963162184E-1,8.556079865E-2,8.471022546E-2,6.083498211E-1
2.865140206E0,1.420258999E0,-7.715225220E-2,5.940572023E-1,1.541425332E0
2.884675884E0,1.618717432E0,-3.843011856E-1,3.865422904E-1,1.708024727E0
2.904211561E0,1.965991020E0,-7.809419632E-1,1.859612316E-1,2.123575433E0
2.923747238E0,2.426605463E0,-7.907323837E-1,-2.940968275E-1,2.569078574E0
2.943282915E0,2.539732456E0,-6.468706131E-1,-1.691229641E-2,2.620871719E0
2.962818592E0,3.598875999E0,-1.021435738E0,1.848534793E-1,3.745585433E0
2.982354269E0,4.422701359E0,-5.612564087E-1,-1.207884848E-1,4.459807835E0
3.001889946E0,4.038187027E0,-3.329544067E-1,1.535149068E-1,4.054797150E0
3.021425623E0,4.019445419E0,-8.034353256E-1,1.621202230E-1,4.102161963E0
3.040961300E0,4.610830307E0,-1.264310837E0,4.723727703E-1,4.804307863E0
3.060496977E0,5.219550133E0,-1.386672974E0,7.217521667E-1,5.448622919E0
3.080019061E0,6.338040352E0,-3.915681839E-1,8.166390657E-1,6.402419895E0
3.099568331E0,7.723505974E0,1.319581032E0,7.185496092E-1,7.868300462E0
3.119104009E0,1.536418200E0,2.742136955E0,2.344756365E0,3.921451055E0
3.138626092E0,-7.302892685E0,2.125496864E0,9.077858329E-1,7.659899060E0
3.158175363E0,-5.260522366E0,-7.417945862E-1,-3.758865833E0,6.507874240E0
3.177711040E0,1.052157998E0,-2.208919525E-1,-2.431593180E0,2.658660396E0
3.197233123E0,2.769075394E0,7.024078369E-1,-5.760803223E-1,2.914279301E0
3.216782394E0,3.081273079E0,6.594600677E-1,9.370902777E-1,3.287441187E0
3.236318071E0,1.005765080E0,-1.867456436E-1,1.281830072E0,1.639977337E0
3.255840154E0,-1.210964918E0,-1.081266403E-1,2.293713391E-1,1.237230219E0
3.275389425E0,-9.306665063E-1,1.661815643E-1,4.625844955E-1,1.052492695E0
3.294925102E0,-5.608757734E-1,-1.441669464E-1,6.126714349E-1,8.430492446E-1
3.314447186E0,6.384180188E-1,4.925346375E-2,-7.983857393E-2,6.452733284E-1
3.333996456E0,1.516996384E0,2.462272644E-1,-3.053417802E-1,1.566888476E0
3.353532134E0,7.078222036E-1,2.739620209E-1,-4.241042733E-1,8.694434401E-1
3.373067811E0,-1.576714516E-1,1.637125015E-1,-3.544081748E-1,4.210311439E-1
3.392603488E0,-1.031290293E-1,-9.520721436E-2,9.696304798E-3,1.406912530E-1
3.412139113E0,5.353572965E-1,5.091762543E-2,4.146522284E-2,5.393694505E-1
3.431674790E0,7.638376951E-2,6.429672241E-3,3.528349400E-1,3.610655284E-1
3.451210467E0,-2.019034028E-1,-1.387147903E-1,-7.606089115E-3,2.450808636E-1
3.470746144E0,-1.164047718E-1,2.098178864E-2,-2.405158579E-1,2.680264619E-1
3.490281821E0,-1.862706542E-1,5.668640137E-2,1.079685092E-1,2.226371570E-1
3.509817498E0,-2.650890946E-1,-1.816167831E-1,2.599674463E-2,3.223859717E-1
3.529353175E0,-3.940470815E-1,-6.177139282E-2,1.920878887E-3,3.988640084E-1
3.548888800E0,-5.793910623E-1,6.188392639E-3,2.730198503E-1,6.405248925E-1
